Name,URL,Folder,Date Added
Maps,https://maps.google.com/,BOOKMARK_BAR > Bookmarks Bar,13325648932130039
Gmail,https://accounts.google.com/b/0/AddMailService,BOOKMARK_BAR > Bookmarks Bar,13325648939210626
YouTube,https://youtube.com/,BOOKMARK_BAR > Bookmarks Bar,13325648942827540
無料の読みもの – にほんごたどく,https://tadoku.org/japanese/free-books,OTHER > Other Bookmarks,13341593177078212
10 SQL Project Ideas,https://www.interviewquery.com/p/10-sql-projects,OTHER > Other Bookmarks,13358984958088942
Microsoft Word - REL 110 Nature of Religion Syllabus FA 2024 Kellogg,https://learn-us-east-1-prod-fleet02-xythos.content.blackboardcdn.com/61aab133e7df2/196008031?X-Blackboard-S3-Bucket=learn-us-east-1-prod-fleet01-xythos&X-Blackboard-Expiration=1725321600000&X-Blackboard-Signature=fmIg2%2BnHq98oCwIjCVwgL7m9ui8au2LX4%2B1b9mVes1w%3D&X-Blackboard-Client-Id=100211&X-Blackboard-S3-Region=us-east-1&response-cache-control=private%2C%20max-age%3D21600&response-content-disposition=inline%3B%20filename%2A%3DUTF-8%27%27REL%2520110%2520Nature%2520Syllabus%2520Fall%25202024%2520Kellogg.pdf&response-content-type=application%2Fpdf&X-Amz-Security-Token=IQoJb3JpZ2luX2VjEJP%2F%2F%2F%2F%2F%2F%2F%2F%2F%2FwEaCXVzLWVhc3QtMSJHMEUCIGIklCsBdACFu7ytQCyoEoDwyoC2%2Bd%2B9WB16QTpcp2PIAiEAqTDIookOAOZAPULe96%2BqcsPeqGau8Nj2XEbvNVVizbAqvAUIrP%2F%2F%2F%2F%2F%2F%2F%2F%2F%2FARAEGgw2MzU1Njc5MjQxODMiDKfGXppWQaTbge9QwCqQBQCEJwFwVZxsu0D%2FKWjoZtFz%2B%2F86Q2gwChAwmwnJ6abMH6srKIw7hhX0aSzY4VWMuN91Xw%2FsPIxf%2FPe6XmNdhmXc0FHMg25wmUqayMKEUTqFnhm%2FpSnj1Ri866%2FFDCvKRiLY8oQrfeoeVwPrtbIl89cyk%2Fd5XqIicUUrXvK3z1AuWEQlqfLYqi%2FNz4VAqaAdNviT0iviRtNqnc%2FRm7G3mPQTqee62crpFZ%2BM6oexxdlzehYLKAvdA9%2Fc3FN5WoSCIKarswePudOAIA6l67wCz9T6WcdV8V6cc276cn3%2BNLzu7L78FSpQWyzhWoq7wQfE48pxOT4eLAP3ucpuoC80AqJ6JqjHC7Ja9uTg86uv5ztmMqdtcthoLiuj%2F24%2F0uSwiwk1oaTlkP4oDqRZ3aYw4kyChkD10VjN8XLYsTN9Mi2l5rZrluAUIGFKPjiJA2iVbMYfcxpneHs9KruIJFTl5WvU38dj1u1EQIMEyjWfF6fH2Pc1P6HVcHchiGchxG6OsZN8orQIwepqDjEEkh1LNoTtZeolBxBeBG9%2Ff0pPdq%2FgGUkdDnLqMaOUq1mBjTbTfr9XGgTjJn8yh1%2BtY2%2B%2FAW8najBmH1UVQPox1EBtQ5M1Mk8CouYZjJ6euJDFuZVQVi4TR6my5IPY%2FazWJ2HkpEpr8fBxIE%2BE5S85q%2B5mZz7idFXD1vcgwmu3MLMUyBA7O4AFeAHT0ljXkf5XxbGUZHsRo%2FAbj7qeZq%2FSjEJrxpUy15bku3Bcg5kyi2YVrM8ybwAkdoR4B1DXMUzzae5r6j3%2F1fWZTLtPZ3VCJCm5JA8yqZZsGbL9ul1sr9lfL4BI38ItSI1SLkpfD3Y1imWlPRlDA9UepvSaIFl2bICruPT9MIOG2LYGOrEBcqDxkFSr8R23tecP5hRWsAJ0OBPKfqYl7S9Ims7VHfzUe53p56%2Ft7kqGLfqpSYnxtp2diLSbkbibqvu7aOsUID1xr22ZFqbXjlLLhl%2BRld5dAIU%2B%2BmpGSRrTePXG%2B72zOcXyFTRGNuG7rpDQLHMNqoCit2rlOMiplrYCN6TDbWmIE7bSOS%2BKmcrW8h1Nb80BVIxq%2BAm%2B8gQqer5HwJS182K%2F4A9dWIGIgOaQyLIUZ0li&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20240902T180000Z&X-Amz-SignedHeaders=host&X-Amz-Expires=21600&X-Amz-Credential=ASIAZH6WM4PL5KFJOBEN%2F20240902%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Signature=44275d40ddbe0c99415b6dcbc7bfc51c992d1af880b6d4e894ff5714eac66bfa,OTHER > Other Bookmarks,13369777532181266
Kinopio,https://kinopio.club/hello-kinopio-vYqygZCfKj6icRs7vJPHU,OTHER > Other Bookmarks,13385266326798342
Lab 2 - 2025 SP [1] Digital Image Processing CSCI 39534 01 [45913] [Lecture] [Hunter College] - City University of New York,https://brightspace.cuny.edu/d2l/lms/dropbox/user/folder_submit_files.d2l?ou=660291&db=1829957,OTHER > Other Bookmarks,13386122383394922
1D 2D Convolution Filters,https://chatgpt.com/c/67e009cc-91d0-800d-8dda-8d86ca9e166f,OTHER > Other Bookmarks,13387226048835838
(496) Looker Studio Tutorial For Beginners - YouTube,https://www.youtube.com/watch?v=Coe_f79Xc2o&t=38s,OTHER > Other Bookmarks,13387655072193837
